,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-43584.165060195606,-22781.619107136896,1199.7134775103261,-36369.44731997714,296864.0530013174,77195.47305497786,15759.164911782516,667.0357248959982,49.81980540646432,34259.31352678562,127276.38580071487,30747.793050118253,214.34406615183133,410.6345294199652,53.570558746589306,6.6600182796292104,3.9643756750044266,-126.33766799218948,161.58768421613289,-121.18065571318395
b5,-19958.893207138735,-10954.948868015992,-1288.7782591327905,-36646.30096648649,262414.40205840784,66378.98981903416,14376.268266324461,13.7545716155476,722.6312074966262,-158.40112264181292,30747.793050118253,102999.9475294828,27817.06960102543,455.0671315327387,355.5528397198215,59.2719046311321,7.746781370524827,-88.20627602462916,112.44709010258921,-88.94003502003294
b6,-8125.981570702759,-258.0570528141461,-3843.6205391370913,-39505.31406125835,254458.16243793754,62809.7829817363,14250.694563417042,43.678823641100756,-20.786452767274433,574.5863887505521,214.34406615183133,27817.06960102543,96544.05378165116,24551.93173301336,1000.499909478143,280.3904711024469,50.1556426501173,-47.838892469163284,47.88451333000614,-59.00782827484428
b7,-1229.8762593174233,11352.841259148787,-6064.617534610576,-36873.529232001965,218085.838429322,52531.228113440746,12367.388066349777,5.366430892557267,21.474611829560484,15.330079559086574,410.6345294199652,455.0671315327387,24551.93173301336,76724.13216474275,20525.685465507446,716.8572751245008,117.90044569263918,-35.09121456643648,20.8981277347345,-47.52741574571949
b8,1215.416590263063,29493.21770623603,-10311.617133813808,-45542.69676298708,250339.7271962208,59332.36678324601,14453.581453410261,3.658767071939919,5.932678690073106,4.107241096875813,53.570558746589306,355.5528397198215,1000.499909478143,20525.685465507446,95434.85576535157,16997.17716102288,631.1401534126582,-37.68656122982704,28.61597781539589,-45.91727645223902
b9,-556.2116285125649,43661.943357522214,-14490.51439708138,-49357.82454642316,252340.99493700368,59699.56835242031,15066.723306010475,-0.001889214722396313,0.10513477472426268,5.374824501452559,6.6600182796292104,59.2719046311321,280.3904711024469,716.8572751245008,16997.17716102288,98840.6434117165,11623.88383122966,-152.94832092852894,-50.107423340118025,-261.0070989699151
b10,-9687.468629357616,74751.00051608986,-19610.743752913433,-47260.6864431455,220643.58039174322,52288.29004216467,13774.196566353237,1.3912726111193923,0.889976141063523,0.042263967220567,3.9643756750044266,7.746781370524827,50.1556426501173,117.90044569263918,631.1401534126582,11623.88383122966,90080.56013704442,-370.40282442557316,-223.3021993827952,-652.4233840628518
AIA,9624.747142111042,621.644295081417,-200.88926279957744,-387.1068724455072,-858.0998572389187,176.64309903934455,122.91818167282455,-8.239801260979757,-67.68229735855604,-77.31574441796451,-126.33766799218948,-88.20627602462916,-47.838892469163284,-35.09121456643648,-37.68656122982704,-152.94832092852894,-370.40282442557316,1875.0506369480713,444.0836099010354,3053.0354929784494
betaIA,4849.6191842336975,-427.4593634587414,163.09604833881912,345.16417958894175,2260.5555752488176,153.1894835269462,60.91094973133551,23.47105404204816,158.17545514875601,139.84001992353078,161.58768421613289,112.44709010258921,47.88451333000614,20.8981277347345,28.61597781539589,-50.107423340118025,-223.3021993827952,444.0836099010354,735.6882535074177,956.8110316600154
etaIA,16645.32705987069,796.2926778748413,-247.3660531553099,-463.37191626263615,-462.70117990555946,333.3911589000791,213.1381949965535,-4.293804147157287,-50.4137020472441,-64.14703653185798,-121.18065571318395,-88.94003502003294,-59.00782827484428,-47.52741574571949,-45.91727645223902,-261.0070989699151,-652.4233840628518,3053.0354929784494,956.8110316600154,5058.939643827004
