,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-43715.51021751195,-37956.78552339852,301.412950416842,-35844.45340048994,296869.70752355404,76943.69870226602,16058.559541742043,667.0862192643746,49.822876616632044,34258.72708782031,127273.02380187211,30747.237807954116,214.44115016107818,410.5887331715196,53.57568848126811,6.656720227375026,3.9632986869762745,-126.32181680078543,161.5681175925964,-121.16537709617735
b5,-20071.10312438267,-24371.19623651474,-2097.5531298777532,-36183.04561542439,262417.96253578144,66153.03887832421,14639.103933766837,13.735584367576347,722.6344955369292,-158.3116733468111,30747.237807954116,102997.04318626208,27816.63651330492,455.136232090289,355.51771357613006,59.26865935215263,7.745508469445527,-88.19896749261777,112.4377258261154,-88.93254988420077
b6,-8232.684052333632,-13248.415314275437,-4655.158723100194,-39057.199201903764,254457.26007316276,62591.79458733359,14504.268304547517,43.68157490837854,-20.783984540036123,574.5385143191996,214.44115016107818,27816.63651330492,96540.9917695198,24551.619388629257,1000.5208810350348,280.3691257726461,50.15135618575267,-47.833930003190595,47.87846642107249,-59.00219092479616
b7,-1319.4567266367148,211.68322814887142,-6792.601561850852,-36491.08925591943,218085.3186636638,52344.65187711732,12584.91700575712,5.365509219690754,21.470806816612438,15.343794244184817,410.5887331715196,455.136232090289,24551.619388629257,76722.19621002549,20525.485493265256,716.8473890239454,117.89012322705567,-35.08618226664664,20.89952155963145,-47.51864105616305
b8,1118.2250748814477,16695.762976728758,-11204.65524746594,-45104.66320970784,250335.63142882267,59118.380552921735,14703.19511369949,3.6577507068281188,5.9331775051783335,4.100673593261848,53.57568848126811,355.51771357613006,1000.5208810350348,20525.485493265256,95432.43264507547,16996.93160158377,631.1131450841068,-37.68187921133574,28.60606259818736,-45.914462489375325
b9,-654.2619872817686,30851.770151881603,-15480.812196977336,-48917.68216563307,252333.85556026656,59482.000278651205,15319.143863802354,-0.001710797757106839,0.10466476936986355,5.3741015777194265,6.656720227375026,59.26865935215263,280.3691257726461,716.8473890239454,16996.93160158377,98838.81178793864,11623.713272799983,-152.89954463372385,-50.089395258218275,-260.9239342402909
b10,-9771.34071940125,63515.36273269678,-20621.468898876214,-46878.120398674604,220634.33056392914,52098.54245054094,13994.67840029003,1.3909480982805236,0.8898505113822965,0.04220022438323838,3.9632986869762745,7.745508469445527,50.15135618575267,117.89012322705567,631.1131450841068,11623.713272799983,90078.59571418489,-370.29096062068675,-223.23327744517468,-652.225603349897
AIA,9624.582093788082,666.8502904945306,-202.21629755669215,-388.6654541681622,-858.0939848606536,177.41422335891295,121.9877739108032,-8.23509694854329,-67.67890134078034,-77.30674492839611,-126.32181680078543,-88.19896749261777,-47.833930003190595,-35.08618226664664,-37.68187921133574,-152.89954463372385,-370.29096062068675,1874.6730815068347,443.97127766831727,3052.4119713422897
betaIA,4849.2310208183335,-541.2742691779358,159.69206735461637,349.1137193879596,2260.481604870824,151.25981746885924,63.15129706136145,23.458535014464267,158.16708821127995,139.823884479229,161.5681175925964,112.4377258261154,47.87846642107249,20.89952155963145,28.60606259818736,-50.089395258218275,-223.23327744517468,443.97127766831727,735.5531958341583,956.588213767242
etaIA,16644.927214929638,822.6749351006572,-250.68874833027826,-464.27202805983285,-462.7216486216263,333.84500372719623,212.55598641473102,-4.290898156048652,-50.41116743119868,-64.13966068559947,-121.16537709617735,-88.93254988420077,-59.00219092479616,-47.51864105616305,-45.914462489375325,-260.9239342402909,-652.225603349897,3052.4119713422897,956.588213767242,5057.896029992521
