,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b2,265973.83265686454,-1928696.3976378273,449705.86189924227,785636.5992483216,5042952.781647017,313877.5572956602,-16619.335153723,954065.4026587255,163386.8799248237,359453.9285383168,1873401.3417828784,351443.13819092396,9427.730803799732,2323.748807980627,360.93293179053137,32.22645890632069,12.033703702014025,1.666595068309648,1.6543797939321399,-24.886648956908413,20.84916271175529,-26.03172933042903
b3,566296.3973808417,-1589213.5919887535,369682.2497442394,608802.0953823738,3976794.704699347,243308.62946704667,-13706.981630474289,766133.7551150091,142452.1478373138,7611.628312836277,351443.13819092396,1138297.285993462,336553.43348762527,8821.266949389546,2018.5722517934096,271.628343923642,29.52219100327313,6.129634372870433,0.7562896243398984,21.067746580690326,-5.964713483498853,20.39745120959258
b4,732864.7395596844,-1557950.9718732592,363392.8642471731,571173.2238523415,3632494.395637414,220872.44250899475,-13443.186300484236,713783.812590741,141393.96151931994,2909.978687638916,9427.730803799732,336553.43348762527,930829.2150564832,297507.99584293115,10642.236635179124,1772.7280015013755,235.18011573341508,17.651342005346812,4.858548850219351,11.33384030299353,-19.925786683800858,10.073718926297843
b5,814624.0664335042,-1477060.2224535746,346208.8754220918,523062.35766794905,3173904.9728436274,192229.50048377912,-12747.990798933934,634108.5340793119,132864.88136924343,511.75933113747476,2323.748807980627,8821.266949389546,297507.99584293115,749456.9837090111,263856.0267421144,8402.948689096465,1630.9489380791879,130.05241601939863,10.867278113698807,-1.817860279672142,1.701278010920694,3.167510960668566
b6,900127.3391811565,-1489737.8050469246,350852.7563987893,512548.8134918908,2949548.5199040463,178874.81028517126,-12857.36831289958,599374.0754138061,132106.80548201734,148.87264623773723,360.93293179053137,2018.5722517934096,10642.236635179124,263856.0267421144,688561.2171702203,227403.4353694343,11641.145897274704,1007.5111390285448,73.40960256168646,38.58644919457847,-54.376707180188156,41.09264629740693
b7,824040.3269344578,-1284555.437436974,303818.591003552,431998.68511903135,2362779.895580096,144026.45692518592,-11084.02281834875,487249.0257567036,112376.51785494236,63.61567981882975,32.22645890632069,271.628343923642,1772.7280015013755,8402.948689096465,227403.4353694343,511460.63309949497,193496.960783283,4844.747367711006,371.56211233576477,41.130987373390425,-51.77063701043403,49.240034136739666
b8,941558.5236824136,-1402602.8465903257,332518.3414639496,461437.23671181296,2418272.9259425183,149070.68586741434,-12096.360020819415,505669.55805175327,121901.73680971429,30.13084195750937,12.033703702014025,29.52219100327313,235.18011573341508,1630.9489380791879,11641.145897274704,193496.960783283,601780.2292524755,147688.9437549206,2719.4514639477725,58.341937788257475,-14.194047144501049,87.07805751166673
b9,853946.5942402661,-1218571.334506342,288344.2669733013,389741.1714310576,2002909.5170952594,126486.73859833104,-10498.106233374125,425261.0781880771,107602.55454365932,2.862472438893673,1.666595068309648,6.129634372870433,17.651342005346812,130.05241601939863,1007.5111390285448,4844.747367711006,147688.9437549206,561685.5005632138,73906.49588629475,-37.48203045904711,-25.51583566380208,-77.64864495491292
b10,534536.4172781729,-716698.554020249,167175.5932058475,219586.84485564596,1217968.9268876128,81491.45891170912,-6157.398392982912,263768.2950579665,70538.01705471783,4.579982704946913,1.6543797939321399,0.7562896243398984,4.858548850219351,10.867278113698807,73.40960256168646,371.56211233576477,2719.4514639477725,73906.49588629475,393385.47126842645,-240.64648591260473,-139.47672212751164,-420.852475376943
AIA,16828.499086793418,200.5935112327545,-94.63281538600106,-300.6911979027939,349.682981388144,53.277903824074556,2.7122964230494766,1322.9379072986105,474.48638151150163,83.04187380851917,-24.886648956908413,21.067746580690326,11.33384030299353,-1.817860279672142,38.58644919457847,41.130987373390425,58.341937788257475,-37.48203045904711,-240.64648591260473,3360.07789110367,556.5667297917222,5381.196483113718
betaIA,9568.369355179788,-2044.6184762244084,551.8377803604802,953.2128919052064,3126.9367293505584,-40.982250447694156,-17.352102701154948,-458.70693076989744,-32.97140042604618,-234.68574925706,20.84916271175529,-5.964713483498853,-19.925786683800858,1.701278010920694,-54.376707180188156,-51.77063701043403,-14.194047144501049,-25.51583566380208,-139.47672212751164,556.5667297917222,1388.020125399033,1372.3600182257587
etaIA,29516.74735361498,-469.72203198701186,64.35433220278708,-99.44044608187338,1734.7388120412265,67.48386091693557,-2.4333383326630793,1868.766907398682,719.3383871218209,47.85740025619889,-26.03172933042903,20.39745120959258,10.073718926297843,3.167510960668566,41.09264629740693,49.240034136739666,87.07805751166673,-77.64864495491292,-420.852475376943,5381.196483113718,1372.3600182257587,8799.089078556119
