,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,732667.3377481403,-1558090.3784116753,362839.86380212766,571273.3354168629,3632577.46453628,226142.83265782482,-13438.720113739859,2910.4400592445786,9427.717642133784,336571.42845490616,930904.8127356067,297525.5894293809,10642.223942877099,1772.886899891141,235.22694890697167,17.65435933187008,4.85917623481954,11.35004039382079,-19.94693633953688,10.088914697035634
b5,814473.8432710298,-1477139.9529737262,345698.15556139505,523142.0275942652,3174013.844294012,197309.82342577568,-12743.269479586608,511.8409903490352,2324.013452650681,8821.294391757403,297525.5894293809,749521.9600090041,263873.172956347,8402.96481221206,1631.1578812668488,130.07714344658,10.8697638480722,-1.8118157203543035,1.6934490312737545,3.1742203421547934
b6,900007.7394188436,-1489957.7779502196,350356.23498131306,512615.0840908392,2949691.75007098,184067.59880214764,-12852.656565871539,148.87796000691455,361.01208882791576,2018.7005741313544,10642.223942877099,263873.172956347,688625.9040479041,227420.44516958809,11641.371918942166,1007.6691729248181,73.42384491887807,38.59635853108645,-54.389154790089094,41.10384526695035
b7,823947.9771045605,-1284849.138586745,303399.08386779187,432050.99962207215,2362937.1905536787,148565.98038629096,-11080.018500714361,63.6235419962382,32.22074249885121,271.6980995570357,1772.886899891141,8402.96481221206,227420.44516958809,511513.86360415525,193512.82523777863,4845.0703536485125,371.6296277775336,41.139440583576075,-51.78087317568578,49.25031897473063
b8,941456.9545266804,-1402907.6017827117,332057.7569003695,461497.5298578376,2418491.5248625223,154128.91837027442,-12091.025316773721,30.13405447189201,12.035388293781965,29.523331022068273,235.22694890697167,1631.1578812668488,11641.371918942166,193512.82523777863,601849.742708752,147702.87281113892,2719.741408727338,58.353959942623824,-14.19957776622341,87.09469999735335
b9,853856.8209940696,-1218743.5836507438,287929.5908104693,389796.7182467183,2003153.8268939543,131072.76202950804,-10491.586512802025,2.86286254726933,1.6669625069477907,6.130485534704649,17.65435933187008,130.07714344658,1007.6691729248181,4845.0703536485125,147702.87281113892,561760.2698269961,73915.76975328164,-37.47252456204572,-25.512527322730374,-77.63389081529584
b10,534474.7530493373,-716791.9032490856,166898.5802368019,219605.36386088727,1218153.792746777,84553.16185871715,-6152.655112323383,4.580609418761936,1.6545214097898113,0.756546498647234,4.85917623481954,10.8697638480722,73.42384491887807,371.6296277775336,2719.741408727338,73915.76975328164,393447.0244655791,-240.6587501941622,-139.48309238257468,-420.8736379579297
AIA,16829.209635660904,200.13996195197473,-94.35513196014088,-300.4646424669661,349.3453047226154,51.42371002800968,2.7284803071139416,83.06031855743754,-24.89008943670936,21.0778969972449,11.35004039382079,-1.8118157203543035,38.59635853108645,41.139440583576075,58.353959942623824,-37.47252456204572,-240.6587501941622,3360.4137194360665,556.6128643286346,5381.730864233191
betaIA,9570.9008532311,-2044.361588701303,551.2248225626129,953.5766836933212,3127.864167232514,-34.91061073704424,-17.36076662355813,-234.74166718658012,20.847407692780973,-5.978786478562453,-19.94693633953688,1.6934490312737545,-54.389154790089094,-51.78087317568578,-14.19957776622341,-25.512527322730374,-139.48309238257468,556.6128643286346,1388.1663576026335,1372.4856018852556
etaIA,29518.804099146157,-470.3170303667489,64.54791757282763,-98.95384871652963,1734.5714039300624,66.9471457386472,-2.411754896247765,47.866499144396776,-26.035883949524756,20.40602504840415,10.088914697035634,3.1742203421547934,41.10384526695035,49.25031897473063,87.09469999735335,-77.63389081529584,-420.8736379579297,5381.730864233191,1372.4856018852556,8799.959132871056
