1  8.01891	-8.939954e-01	-6.039671e-01	5.217349e-02	6.768234e-01	9.400746e-01	7.944305e-01	2.664722e+00	2.919752e-02	3.219129e-01	1.636902e+01	4.569913e+01	2.776254e+01	2.021513e+01	-3.203343e-01	-3.126304e-01	-3.057194e-01	-3.130556e-01	
2  6.652	-8.490981e-01	-7.556601e-01	5.491272e-02	6.748893e-01	9.308774e-01	7.865441e-01	2.428707e+00	7.572927e-02	3.303489e-01	2.213364e+01	3.965869e+01	3.410480e+01	3.101871e+01	-3.297278e-01	-3.205081e-01	-3.155805e-01	-3.233596e-01	
6  3.2086	-8.950825e-01	-5.408914e-01	5.388542e-02	6.736865e-01	9.355196e-01	7.927166e-01	2.492557e+00	8.842201e-02	3.279856e-01	1.914526e+01	3.244273e+01	3.282483e+01	3.236609e+01	-3.310096e-01	-3.225328e-01	-3.179142e-01	-3.255057e-01	
3  4.32343	-1.005098e+00	-7.888321e-02	5.089540e-02	6.741499e-01	9.535360e-01	8.087515e-01	2.660495e+00	7.738735e-02	3.155060e-01	1.088816e+01	2.032702e+01	2.383968e+01	2.247988e+01	-3.233847e-01	-3.150451e-01	-3.108899e-01	-3.179717e-01	
2  4.38543	-1.010826e+00	-8.948630e-02	5.042995e-02	6.748209e-01	9.542455e-01	8.089995e-01	2.676391e+00	7.247410e-02	3.132112e-01	1.292826e+01	1.281435e+01	2.496128e+01	2.254505e+01	-3.196563e-01	-3.101493e-01	-3.068735e-01	-3.143126e-01	
2  4.02665	-9.903209e-01	-2.022464e-01	5.120931e-02	6.750268e-01	9.552464e-01	8.034806e-01	2.623453e+00	8.882792e-02	3.146096e-01	1.133960e+01	1.923719e+00	1.764522e+01	1.386825e+01	-3.189350e-01	-3.070533e-01	-3.050046e-01	-3.120365e-01	
4  4.46702	-9.756600e-01	-1.950498e-01	5.258992e-02	6.739581e-01	9.513648e-01	8.016787e-01	2.517980e+00	1.094491e-01	3.187504e-01	1.498328e+01	6.718297e+00	2.350608e+01	2.461048e+01	-3.255947e-01	-3.136885e-01	-3.117976e-01	-3.196357e-01	
2  4.40262	-9.788215e-01	-1.680848e-01	5.218970e-02	6.729254e-01	9.551330e-01	7.988403e-01	2.577668e+00	1.165063e-01	3.181850e-01	7.490075e+00	-1.004211e+01	1.261692e+01	1.821385e+01	-3.258403e-01	-3.129432e-01	-3.122033e-01	-3.207410e-01	
4  4.12599	-1.011174e+00	-4.218823e-02	5.078014e-02	6.730067e-01	9.615260e-01	8.004423e-01	2.658248e+00	8.908765e-02	3.120575e-01	-1.372592e+00	-6.228701e+00	1.405427e+00	1.438206e+01	-3.200615e-01	-3.090654e-01	-3.063611e-01	-3.153310e-01	
1  3.84956	-1.004328e+00	-6.969922e-02	5.047976e-02	6.734671e-01	9.604057e-01	8.012740e-01	2.707217e+00	1.162898e-01	3.141643e-01	5.340957e+00	-9.539938e+00	1.356973e+00	1.255441e+01	-3.219111e-01	-3.096354e-01	-3.071031e-01	-3.160013e-01	
