,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-22267.267327161786,-61816.638346607426,9234.035855722483,3304.317183714956,292215.73601920187,20923.73844435833,-528.5694932451845,76107.68371481154,15583.509221607523,652.8624728325528,76.01949815371687,34097.169811358326,126667.61621294513,30643.72230469415,231.358292739383,406.65598967546714,53.397010214317085,6.75341517318575,3.862511577761757,-112.4761208823215,143.6277811798549,-108.00793625533016
b5,-395.5687068828074,-47108.227303984975,6042.505174813476,-416.2856339456448,261210.20884485525,18528.424624744417,-401.1392883798486,66135.47764711601,14417.68829943663,14.593039899557382,711.5774442405228,-134.52502230120393,30643.72230469415,102669.1537489155,27738.457252360076,464.84685072174324,353.2069151648981,58.67712224750054,7.745124248936906,-77.67756713402173,99.29024827521056,-78.05681350363719
b6,11069.803401020024,-35786.106752424195,3153.4416838424922,-4335.661671092716,255105.02196282876,18188.294858244783,-301.930352100753,63085.27886461746,14453.820304393968,42.92573003131939,-19.823269195002872,568.1570197766904,231.358292739383,27738.457252360076,96270.94247204851,24502.771187590148,1004.6910806975421,279.1588408739079,49.604562086824686,-40.34875554254477,39.67558409305273,-50.16470329243458
b7,14889.881795203291,-19558.578096046076,-189.97962975805058,-7315.566594139168,219929.29815592902,15875.611952760926,-157.1973195470189,53170.772020078104,12676.887896913946,5.1694459083504825,21.234412733626886,15.433409583479019,406.65598967546714,464.84685072174324,24502.771187590148,76549.67189164585,20497.322444209185,716.9717684286419,117.20051196867092,-29.08819902923657,16.011822385397785,-39.76082579907749
b8,18952.312505281516,-6570.126351274079,-4073.2000028640628,-12962.369375521961,253389.74717808538,18735.322346010264,-46.84134012019504,60354.342634987326,14927.945504424104,3.6473685740879467,5.7769870321241985,4.242503161700417,53.397010214317085,353.2069151648981,1004.6910806975421,20497.322444209185,95194.19012321629,16970.18242424867,627.9545825640582,-30.411043662924335,24.551065802289177,-36.095653516778114
b9,15415.001390504527,11460.739793695519,-9287.35910579042,-18913.67783148849,256179.71892790275,19758.72661523024,120.8783724565223,60859.581430287515,15638.710024074533,0.013076350791180757,0.12429441699622791,5.266181509604736,6.75341517318575,58.67712224750054,279.1588408739079,716.9717684286419,16970.18242424867,98612.97264830033,11601.191353468288,-137.27212247260746,-46.937124978396945,-235.46771653512934
b10,1331.905400282786,47127.0612875423,-16214.417995235613,-24151.688805033395,223612.39067904642,18566.329996392178,430.74004781442596,53357.64869562716,14331.589168541068,1.306514317931752,0.8363911920105762,0.05145603170785695,3.862511577761757,7.745124248936906,49.604562086824686,117.20051196867092,627.9545825640582,11601.191353468288,89685.68075380533,-339.43505976202437,-204.35843026811222,-597.7217519972131
AIA,9183.409142351376,635.9516441038336,-159.04044776331187,-275.00022281766354,-834.5157545034749,-74.74857503699009,5.930535810210695,205.03996905210178,121.97045757509095,-5.856638596378279,-61.43407815428022,-67.84191283582119,-112.4761208823215,-77.67756713402173,-40.34875554254477,-29.08819902923657,-30.411043662924335,-137.27212247260746,-339.43505976202437,1770.5228703092725,415.22767905032146,2881.266552611772
betaIA,4708.954793404105,-566.0332552830675,142.72117906096992,269.04634254266796,2153.3430778833654,48.566592495810845,-4.71586191355123,125.35005284897896,64.351084116993,16.621308575283738,142.87531546354603,123.45827486694012,143.6277811798549,99.29024827521056,39.67558409305273,16.011822385397785,24.551065802289177,-46.937124978396945,-204.35843026811222,415.22767905032146,694.688919061235,897.0969455926909
etaIA,15911.065673593812,766.5779400370603,-191.21721398727453,-321.4184360115462,-467.3469842114974,-96.38697235057455,7.359647602940898,366.4844908739571,213.02422047162878,-3.060318966267988,-45.873496661317795,-56.18619915708353,-108.00793625533016,-78.05681350363719,-50.16470329243458,-39.76082579907749,-36.095653516778114,-235.46771653512934,-597.7217519972131,2881.266552611772,897.0969455926909,4772.035622002122
