,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-22006.508427925975,-61872.06210004567,9231.028685319185,3866.341618769413,293036.50848159374,20761.537824784602,-529.0949094271041,76062.16710953559,15577.811120824379,652.7561581120224,76.10671217971901,34094.60443402843,126650.21462678305,30641.554423683603,231.5327423791643,406.53381127665864,53.39697142132086,6.748941092198183,3.8607934956694616,-112.39031981749504,143.5169689503096,-107.92630922565708
b5,-176.79923659341694,-47207.490449929,6050.239756303467,-188.3207560118276,261224.24532240405,18382.249931753835,-400.90525353351757,66130.21136443407,14417.107651629225,14.609801967559186,711.4107828741801,-134.24037676524782,30641.554423683603,102656.5700906447,27736.585539819123,464.90556267554564,353.11580330899665,58.662106758834355,7.741860285794587,-77.61907144954377,99.21672602715473,-77.99661912132434
b6,11280.23046669787,-35904.62531925067,3172.192698668413,-4142.931956385808,255056.63229483317,18043.759090141197,-301.7358023958162,63088.32277344836,14455.128958718844,42.90823674867943,-19.79236108350415,567.9714023383477,231.5327423791643,27736.585539819123,96258.66435295224,24501.41840752265,1004.6295550135642,279.095606668287,49.59063358539065,-40.31060940965304,39.632950613549795,-50.11988357763822
b7,15035.094339566895,-19573.80007379233,-171.20849459892042,-7175.448748062601,219872.27745820588,15747.91236578282,-156.5458592961047,53174.20884050961,12677.636886612498,5.171101566152206,21.218895817112262,15.456797333232776,406.53381127665864,464.90556267554564,24501.41840752265,76542.62417129199,20496.420081322685,716.8980259864804,117.17753458849525,-29.058209816403167,15.990879917389181,-39.72050740944279
b8,19046.213401478897,-6557.896444474596,-4059.1564675301834,-12796.903873762903,253330.45327266734,18581.985733185003,-45.71473901281611,60345.15178547474,14926.270372040166,3.6470750381883943,5.775837153836969,4.236620228870072,53.39697142132086,353.11580330899665,1004.6295550135642,20496.420081322685,95183.57654914253,16969.18768626242,627.8514571090858,-30.38330310718736,24.528785099378528,-36.06140177810433
b9,15426.189321141428,11688.52745970393,-9277.651918658745,-18739.29540898525,256136.53036493206,19600.27366419678,123.25206992616994,60838.88550304154,15635.286621597153,0.013094698339999572,0.12406543972250654,5.263905755945038,6.748941092198183,58.662106758834355,279.095606668287,716.8980259864804,16969.18768626242,98604.84308626068,11600.537597394037,-137.1982759908935,-46.91457222911581,-235.34367524517336
b10,1294.2839368648602,47121.57274073482,-16192.103971598899,-24005.999663254017,223568.8289906389,18419.66573387554,431.59385345217515,53347.407609118374,14329.242503243186,1.3064137912061273,0.8361013462602149,0.05143429889775498,3.8607934956694616,7.741860285794587,49.59063358539065,117.17753458849525,627.8514571090858,11600.537597394037,89678.0664521527,-339.29146625969946,-204.27015674348934,-597.4679772197944
AIA,9180.589303700559,634.9387587982712,-158.92033339853967,-276.9225507726373,-834.4679781525559,-71.98012170874074,5.939455092713988,211.9996048920582,124.14280838560398,-5.8416639016349405,-61.394963397550136,-67.78736430697798,-112.39031981749504,-77.61907144954377,-40.31060940965304,-29.058209816403167,-30.38330310718736,-137.1982759908935,-339.29146625969946,1769.9902564702813,415.10600928167224,2880.4009505571
betaIA,4708.010678399913,-566.0744596281145,142.76089266565378,269.8289946000881,2152.8538614542713,47.73907715415956,-4.729650261499793,114.60911531249111,60.96257775645217,16.576176844760855,142.77788721013363,123.36288293319723,143.5169689503096,99.21672602715473,39.632950613549795,15.990879917389181,24.528785099378528,-46.91457222911581,-204.27015674348934,415.10600928167224,694.4712223216575,896.8285534590209
etaIA,15906.372428907393,764.9981122928601,-191.0152301539048,-324.105231428303,-467.5106356486647,-92.44724446480575,7.368086865226095,373.07619518459376,215.06783672636536,-3.053299673407593,-45.84545217427376,-56.1407490187284,-107.92630922565708,-77.99661912132434,-50.11988357763822,-39.72050740944279,-36.06140177810433,-235.34367524517336,-597.4679772197944,2880.4009505571,896.8285534590209,4770.602180697613
