,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-26372.402887269323,-37402.035771016985,508.80839907365294,-35155.645237749006,285353.6120415367,8664.351618735387,-376.4041874296348,-140.57105752825774,34250.92038759389,-275980.04628339026,696548.805841542,-346860.88970002026,73573.88865698797,-4314.7268285454775,124.9359875599164,2.1310899898457767,0.3794324604665664,-226.31541423905193,310.69684982411025,-210.63383706143898
b5,-21516.638225409446,-23357.462033381024,-1967.6346554395698,-35055.68200443827,252457.05862849523,7745.9298208342225,-243.85174373260492,98.49635587797025,-2219.2287902179405,66137.6087341659,-346860.88970002026,714680.8391308666,-333159.9026140378,61262.92473522338,-2746.244688855426,47.240865670714754,0.6963368993920895,4.7849098786420745,7.487285255233557,16.595143167233804
b6,-6969.520406197447,-11941.74891873831,-4090.939058918761,-36364.36796472318,237295.7119639913,7434.393197892199,-148.23220704985602,11.335541088317525,143.89234747783135,-4247.701732923826,73573.88865698797,-333159.9026140378,623989.8478542358,-256956.1715053797,36409.128201700296,-881.7605298978937,4.691141464460643,-49.89546285929068,74.59048127495784,-47.79826478489987
b7,-2871.6370052242173,84.19836170881536,-7389.262020705863,-39412.588036936344,234773.94783485477,7568.491504492496,-9.621527686854094,5.212348242287178,5.042568264273415,198.72819604189252,-4314.7268285454775,61262.92473522338,-256956.1715053797,473632.84433877823,-154339.54372568367,12900.89071724105,-41.16452020941153,17.602627468289917,38.52894192471933,41.564043428300685
b8,44.87622282774373,22138.721996702687,-11479.734210269466,-44407.35036522698,245127.7990694547,8239.522480103711,162.4414940780567,2.9516247168800778,0.2082279018217663,7.209931159457563,124.9359875599164,-2746.244688855426,36409.128201700296,-154339.54372568367,314395.3629936627,-64504.27505728075,1493.4538627168758,38.913261769380654,51.12484310899104,71.86139728789084
b9,-1288.3448615077687,28949.848013309398,-15188.841304199143,-49206.050549564054,255612.10488412614,9090.374000156597,246.60374156870793,0.44040058089443074,0.20375225869520927,0.1903492333986119,2.1310899898457767,47.240865670714754,-881.7605298978937,12900.89071724105,-64504.27505728075,197714.61357001806,-14891.7017961262,-48.00957248783476,155.62849093172687,-20.944404101062943
b10,-12090.847176557916,67678.25372574016,-21149.09235192471,-47397.127336089936,223830.42242970684,8833.083232967481,602.6384465234488,1.0447384918208824,0.18272523090160347,0.18241392631702452,0.3794324604665664,0.6963368993920895,4.691141464460643,-41.16452020941153,1493.4538627168758,-14891.7017961262,114136.18996581945,-575.4210962418957,-332.89850761835635,-1008.3771565804509
AIA,9028.912270443001,680.2040691322251,-198.71098832999732,-374.03832106426876,-898.5130873185864,-4.323245767291598,3.9295064115433047,30.116856094996937,-121.62782211132247,92.07907722510919,-226.31541423905193,4.7849098786420745,-49.89546285929068,17.602627468289917,38.913261769380654,-48.00957248783476,-575.4210962418957,1761.863114118584,412.02582020074027,2866.8580701967826
betaIA,4689.1099780389495,-547.2543866422438,156.89008947979437,339.52363509236517,2190.297979818115,47.75466003111384,-5.168412122162293,-72.88130823043036,276.80608109766195,-113.74954181682736,310.69684982411025,7.487285255233557,74.59048127495784,38.52894192471933,51.12484310899104,155.62849093172687,-332.89850761835635,412.02582020074027,689.7607766023417,890.3212054628348
etaIA,15668.387928579818,840.8462499511273,-246.350635242836,-445.4786518438188,-551.5341260741998,11.404017232099545,4.099427273629941,21.61452315981291,-90.32725098557866,90.29177045944547,-210.63383706143898,16.595143167233804,-47.79826478489987,41.564043428300685,71.86139728789084,-20.944404101062943,-1008.3771565804509,2866.8580701967826,890.3212054628348,4747.48788909685
