,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,761319.643071312,-1552494.0389728365,390570.8889765852,561092.2783332635,3617683.249618618,64354.68284272475,-12142.376295143264,2894.871903541661,9406.109651223836,335846.49007630424,927429.8854689363,296784.8521945572,10640.851893555446,1762.8459581241298,233.63605129659038,17.475558257736793,4.823860823995996,10.9047393040864,-19.364506380432367,9.679375782195159
b5,838110.4865517716,-1471870.6564456646,369503.2342055596,519399.496995943,3162532.1155106775,56980.710357619384,-11575.42784456398,512.9985852759418,2308.9318286203816,8814.304379651394,296784.8521945572,746579.0247973173,263144.9206314055,8400.99105604245,1620.2956571963841,128.98002909023546,10.747791173423828,-2.163499557171251,2.0791631405417803,2.794409487686112
b6,921040.8466503433,-1483266.7225842895,372091.555780444,507118.17090266064,2935684.272850579,52813.74873349789,-11737.981168723612,150.48331097040938,359.47482419036425,2008.156133742897,10640.851893555446,263144.9206314055,685733.1463886538,226693.8015564368,11630.376858094927,1000.0180542315487,72.68174609235038,38.23322935462472,-53.99347239902907,40.686084077925045
b7,840015.7153478805,-1277146.4760914263,320681.6074136047,427650.01121527026,2351261.312287738,41941.68028173696,-10177.942119462243,64.22750682731555,32.43631104294849,269.8389760511937,1762.8459581241298,8400.99105604245,226693.8015564368,509149.6378116001,192836.11556450516,4829.56731267364,368.4409044858178,40.967333441992416,-51.50316546992132,49.07186505455739
b8,956825.3942726041,-1396713.740794424,350113.5921994583,457990.7859297305,2406973.1699337247,42438.51705653971,-11167.08079056257,30.428512903765547,12.048754515501118,29.458030877468012,233.63605129659038,1620.2956571963841,11630.376858094927,192836.11556450516,598762.7350506405,147103.41612534988,2705.9774353858666,58.25215790618655,-14.190580313134056,86.91711517783521
b9,866121.5446287359,-1213206.650609414,303210.4149410373,386130.1205522086,1991611.374953383,34847.58507578084,-9702.669038334303,2.895982254802157,1.663180303906148,6.086107656859858,17.475558257736793,128.98002909023546,1000.0180542315487,4829.56731267364,147103.41612534988,558424.348112058,73502.88042308907,-36.68535072150719,-25.271443511907712,-76.30346105257865
b10,541510.1489934586,-710330.2312773459,176381.37847507562,216895.36117373634,1209396.5571174498,22372.591991291432,-5643.773520931476,4.608759769837622,1.6594703825861117,0.758873531858545,4.823860823995996,10.747791173423828,72.68174609235038,368.4409044858178,2705.9774353858666,73502.88042308907,390625.80868498946,-238.27557594370268,-138.05013747694602,-416.67453319756555
AIA,16793.807164999213,209.338840551673,-96.01707303477039,-301.85465626029304,348.8275479217429,35.56458637469756,2.9845904067661855,83.13635930452577,-24.667381825078003,20.623652544401754,10.9047393040864,-2.163499557171251,38.23322935462472,40.967333441992416,58.25215790618655,-36.68535072150719,-238.27557594370268,3355.483603580131,554.7856818968769,5373.45924258655
betaIA,9549.880769461783,-2050.024293885101,542.0133146506549,953.6007115471317,3130.183173784573,26.816385605546895,-16.714830387151043,-234.6076499485225,20.480967703331125,-5.251637505302433,-19.364506380432367,2.0791631405417803,-53.99347239902907,-51.50316546992132,-14.190580313134056,-25.271443511907712,-138.05013747694602,554.7856818968769,1386.4164021344939,1369.025449675988
etaIA,29456.518835134044,-458.3688456988316,58.683295659441946,-101.03801177823746,1734.7023326410851,64.98009824357902,-1.7713761089426727,48.021906233508254,-25.85671406498614,20.012336838132523,9.679375782195159,2.794409487686112,40.686084077925045,49.07186505455739,86.91711517783521,-76.30346105257865,-416.67453319756555,5373.45924258655,1369.025449675988,8785.933497217045
