,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,679567.4955394336,-1675820.005789507,326292.2625578534,359355.5776639548,3508608.883257476,84335.89925389858,-10554.642527129756,279.8573484977294,121042.06943308644,-1093306.8036610482,3423064.847545823,-1062903.744494246,117048.20943218698,3014.1585054278457,65.43697852919678,8.201812769514659,0.9745109783292053,-172.65129175580546,257.74853368081284,-143.03518831410713
b5,692587.6233513104,-1530336.1997943465,293606.7118515522,271670.78876359033,3097968.230011466,78413.8180261923,-9809.830796585276,264.04697895967865,-370.056747216194,141720.90854019058,-1062903.744494246,3022229.4354573945,-899339.0080033896,89546.08532946321,1019.4741885424888,54.45563831322082,1.080385423087808,78.50316871590371,-65.7344862481853,111.4643756177736
b6,716327.7281724773,-1435989.3863806685,273318.72143422265,211563.7963697881,2797716.543757289,73819.86972294276,-9323.787308955087,189.93862426576894,87.05978511236202,2710.0508482151336,117048.20943218698,-899339.0080033896,2526744.887604965,-671741.7412212986,58928.63575668012,-219.37204263305046,13.480429382393162,42.390304468725034,7.2729477880070394,77.01068326335736
b7,730920.7710325853,-1367107.0938798906,259773.34765215288,166711.50093408418,2566990.628339551,70226.80718076612,-8972.026927107121,69.77223733909807,39.75422191124103,82.93249756031615,3014.1585054278457,89546.08532946321,-671741.7412212986,1998298.9923673577,-422755.0669378121,26429.610130052475,-31.09182693327659,127.67426553612805,12.12640540558715,204.04448658687386
b8,743079.8150499301,-1306102.083305825,248185.44944002398,128268.65832117393,2367010.7768698595,67172.46010577961,-8643.114948260853,26.888153480233584,10.6713062166605,24.609004224628922,65.43697852919678,1019.4741885424888,58928.63575668012,-422755.0669378121,1483368.328507581,-192950.51101934107,4389.257945594389,170.4122966679483,87.1713486433006,281.3317530113485
b9,722854.93300408,-1199683.4553890738,228523.33189044477,90676.33468281165,2099757.466331524,62085.481410303844,-7996.251794811942,3.5602355823349248,0.7121172465268353,2.709326613993303,8.201812769514659,54.45563831322082,-219.37204263305046,26429.610130052475,-192950.51101934107,1032680.8052960925,-41587.82649598783,54.99236998729593,303.2192681940793,190.75779543253122
b10,459435.5940741695,-706789.4087507266,132497.79528735392,28582.47302038424,1279957.924747207,40715.10481508637,-4617.266859817041,4.585641829847223,0.8369355876557629,1.0486254332153375,0.9745109783292053,1.080385423087808,13.480429382393162,-31.09182693327659,4389.257945594389,-41587.82649598783,520848.32735737343,-665.914508415223,-368.3081541407212,-1160.147087275308
AIA,16590.973943094537,363.68543929655846,-214.7791488141913,-844.0623292008592,232.91190075363562,42.31823720004531,4.118954963678916,244.79447763906174,-98.18386002449142,335.3392511788062,-172.65129175580546,78.50316871590371,42.390304468725034,127.67426553612805,170.4122966679483,54.99236998729593,-665.914508415223,3393.732063676359,547.9882782042322,5430.03395338752
betaIA,9582.811266359766,-1986.5931696901448,526.602949967771,1127.5698879347553,3153.731147501332,63.99188948855387,-13.246711686583158,-633.6588744043024,290.363068442138,-444.1665689893265,257.74853368081284,-65.7344862481853,7.2729477880070394,12.12640540558715,87.1713486433006,303.2192681940793,-368.3081541407212,547.9882782042322,1404.463947406227,1365.2830015084432
etaIA,29157.64989575327,-195.4025070566296,-130.23808303674252,-869.1594475217483,1563.5030584777608,89.60778108728991,1.310877921335,160.87608736112378,-60.610347239998404,321.5272962468307,-143.03518831410713,111.4643756177736,77.01068326335736,204.04448658687386,281.3317530113485,190.75779543253122,-1160.147087275308,5430.03395338752,1365.2830015084432,8872.012849758426
